AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
3,,,,
43,10.0,1.0,34.0,30000.0
63,,,46.0,33000.0
68,,,44.0,73000.0
36,15.0,,40.0,80100.0
46,10.0,4.0,40.0,46100.0
16,,,,0.0
49,,,40.0,121000.0
69,,,,9400.0
56,,,30.0,28890.0
3,,,,
40,10.0,1.0,40.0,95900.0
65,,,,12100.0
68,,,,9600.0
46,,,,8400.0
4,,,,
76,,,,66700.0
3,,,,
8,,,,
67,30.0,1.0,45.0,125400.0
23,6.0,2.0,4.0,2000.0
55,8.0,1.0,50.0,65000.0
23,,,84.0,30000.0
66,,,,6700.0
68,,,30.0,61000.0
76,,,,26600.0
67,,,,43200.0
42,15.0,1.0,40.0,130000.0
58,5.0,1.0,40.0,56000.0
34,35.0,2.0,60.0,49000.0
58,15.0,1.0,40.0,31000.0
39,5.0,2.0,45.0,21000.0
66,,,15.0,40000.0
40,25.0,2.0,50.0,255000.0
0,,,,
40,,,,0.0
52,15.0,1.0,40.0,230000.0
34,10.0,1.0,40.0,80000.0
88,,,,13700.0
16,30.0,1.0,10.0,800.0
59,3.0,1.0,36.0,414000.0
65,,,,0.0
23,10.0,1.0,40.0,25000.0
14,,,,
77,,,,15400.0
31,5.0,1.0,40.0,35000.0
91,,,,22100.0
44,,,,17300.0
30,20.0,1.0,40.0,56000.0
70,,,,37000.0
70,,,,69400.0
53,17.0,1.0,40.0,70000.0
60,20.0,1.0,35.0,111000.0
71,,,,21000.0
11,,,,
55,15.0,,30.0,42000.0
52,20.0,,40.0,43000.0
70,,,,12900.0
66,,,12.0,58730.0
42,15.0,1.0,40.0,35000.0
76,,,,151220.0
38,60.0,2.0,40.0,63000.0
60,,,,10850.0
12,,,,
20,25.0,1.0,24.0,12000.0
11,,,,
54,1.0,,50.0,49800.0
55,10.0,1.0,46.0,56000.0
29,15.0,1.0,35.0,60000.0
73,,,,17500.0
35,10.0,1.0,30.0,20000.0
15,,,,0.0
70,,,,45100.0
23,,,,15000.0
47,15.0,1.0,40.0,26000.0
84,5.0,1.0,6.0,268300.0
69,10.0,2.0,50.0,51000.0
54,10.0,1.0,40.0,211000.0
48,5.0,,50.0,68000.0
57,,,12.0,25000.0
33,15.0,1.0,40.0,24930.0
28,,,40.0,40000.0
80,,,,2600.0
84,,,,5600.0
67,,,,228000.0
6,,,,
33,,,,3600.0
1,,,,
20,,,,0.0
82,,,,33600.0
35,20.0,3.0,40.0,45000.0
60,5.0,1.0,12.0,4500.0
44,20.0,1.0,35.0,65000.0
45,15.0,1.0,38.0,2900.0
14,,,,
10,,,,
39,,,55.0,53000.0
57,,,,0.0
73,,,,20800.0
79,,,,17600.0
83,,,,18300.0
63,20.0,1.0,55.0,310000.0
53,,,,10100.0
57,,,,2770.0
56,25.0,1.0,40.0,125000.0
17,30.0,1.0,56.0,5000.0
46,15.0,,18.0,13000.0
74,,,,27200.0
21,30.0,,25.0,19000.0
48,40.0,1.0,44.0,55000.0
23,15.0,1.0,20.0,6000.0
68,,,,19000.0
37,,,,4000.0
88,,,,20800.0
73,5.0,1.0,18.0,35000.0
66,5.0,1.0,30.0,30000.0
52,10.0,1.0,50.0,35800.0
65,,,,26700.0
62,,,,26300.0
50,3.0,1.0,40.0,31600.0
42,52.0,1.0,38.0,45000.0
49,15.0,1.0,45.0,160000.0
49,16.0,2.0,45.0,54000.0
78,,,,26000.0
42,20.0,1.0,20.0,2600.0
79,,,,15900.0
34,40.0,1.0,40.0,56000.0
43,,,30.0,9600.0
45,30.0,,40.0,96000.0
21,,,40.0,4300.0
71,,,,16000.0
35,2.0,,60.0,28000.0
65,,,,0.0
59,5.0,1.0,24.0,7000.0
59,15.0,1.0,80.0,43000.0
59,20.0,1.0,36.0,42000.0
71,,,,15400.0
11,,,,
29,45.0,1.0,60.0,30000.0
72,,,,6000.0
28,25.0,2.0,40.0,20000.0
58,,,,5460.0
28,15.0,2.0,30.0,16000.0
42,25.0,,40.0,114000.0
64,2.0,,40.0,34000.0
69,45.0,2.0,40.0,120000.0
63,,,10.0,1300.0
28,,,40.0,75100.0
24,2.0,,40.0,22000.0
33,25.0,1.0,40.0,62000.0
47,15.0,2.0,40.0,29500.0
47,,,40.0,82000.0
25,20.0,1.0,40.0,40000.0
22,,,15.0,980.0
25,10.0,1.0,40.0,70500.0
1,,,,
16,,,,0.0
17,15.0,1.0,15.0,6400.0
9,,,,
54,25.0,1.0,40.0,68600.0
71,,,,30000.0
21,35.0,1.0,40.0,37100.0
32,155.0,3.0,35.0,1400.0
42,45.0,1.0,40.0,37000.0
28,45.0,1.0,45.0,36000.0
60,,,40.0,56000.0
41,25.0,1.0,40.0,40000.0
39,50.0,1.0,40.0,80000.0
46,60.0,1.0,55.0,127000.0
50,60.0,1.0,65.0,52000.0
6,,,,
37,20.0,1.0,40.0,30000.0
16,,,,0.0
70,,,,15200.0
