AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
22,,,,0.0
40,,,,44900.0
27,,,,3100.0
31,1.0,,40.0,51600.0
29,,,40.0,9500.0
25,3.0,,20.0,7240.0
15,,,,1000.0
49,30.0,1.0,40.0,51600.0
37,12.0,2.0,40.0,67000.0
32,,,,4400.0
55,40.0,1.0,40.0,101600.0
40,,,84.0,45600.0
56,5.0,1.0,40.0,45070.0
2,,,,
39,27.0,1.0,27.0,12600.0
65,15.0,1.0,40.0,28600.0
75,,,,61600.0
52,,,40.0,23900.0
10,,,,
81,,,,90400.0
53,15.0,1.0,40.0,71600.0
75,,,,26400.0
57,5.0,1.0,32.0,32000.0
55,5.0,1.0,40.0,65000.0
73,2.0,1.0,40.0,83000.0
37,,,20.0,54800.0
6,,,,
83,,,,59000.0
59,20.0,1.0,40.0,42500.0
22,,,,1600.0
9,,,,
15,,,,1600.0
40,,,,1240.0
26,,,36.0,8000.0
10,,,,
44,30.0,1.0,45.0,82000.0
6,,,,
13,,,,
8,,,,
70,,,25.0,375000.0
11,,,,
1,,,,
20,5.0,1.0,40.0,20000.0
29,45.0,1.0,40.0,36300.0
74,,,15.0,77200.0
10,,,,
32,60.0,,45.0,42200.0
55,55.0,1.0,37.0,60000.0
21,7.0,1.0,45.0,40150.0
70,,,72.0,21500.0
49,5.0,,30.0,18630.0
73,,,,10600.0
41,200.0,,42.0,77900.0
64,20.0,1.0,32.0,47300.0
40,4.0,1.0,40.0,86400.0
25,30.0,2.0,50.0,17700.0
9,,,,
52,2.0,1.0,40.0,29200.0
61,,,40.0,83100.0
53,2.0,1.0,50.0,90300.0
24,1.0,,40.0,59600.0
62,2.0,1.0,50.0,54620.0
12,,,,
28,,,40.0,17600.0
11,,,,
54,3.0,,20.0,5520.0
58,3.0,1.0,40.0,16900.0
67,,,,41200.0
8,,,,
45,10.0,,66.0,96000.0
2,,,,
51,10.0,1.0,40.0,49600.0
57,5.0,1.0,38.0,76600.0
17,,,,2400.0
12,,,,
40,,,50.0,50000.0
55,,,,1600.0
44,20.0,2.0,32.0,42000.0
47,20.0,2.0,64.0,201600.0
50,5.0,,45.0,18000.0
56,,,48.0,45100.0
47,3.0,,35.0,28400.0
35,,,,1600.0
34,20.0,1.0,40.0,49200.0
58,,,,0.0
57,,,,76600.0
9,,,,
56,15.0,,32.0,15000.0
43,,,60.0,72000.0
19,,,40.0,40000.0
15,,,,1600.0
12,,,,
56,5.0,1.0,40.0,36000.0
28,5.0,,84.0,53000.0
73,,,,31400.0
46,7.0,2.0,42.0,68300.0
31,5.0,,84.0,48000.0
44,7.0,1.0,40.0,55000.0
67,10.0,1.0,45.0,141000.0
73,15.0,1.0,45.0,446500.0
32,2.0,1.0,40.0,70000.0
76,,,,16300.0
59,,,60.0,99000.0
60,,,40.0,27100.0
43,2.0,1.0,20.0,20000.0
50,,,,1800.0
58,15.0,1.0,30.0,16000.0
66,,,,84500.0
32,60.0,2.0,50.0,82200.0
50,,,60.0,19600.0
6,,,,
6,,,,
57,5.0,1.0,30.0,23100.0
27,,,45.0,80000.0
21,5.0,1.0,60.0,35000.0
50,30.0,1.0,32.0,67000.0
69,,,,324000.0
70,,,,36100.0
11,,,,
35,5.0,,30.0,13100.0
26,1.0,,65.0,30000.0
52,10.0,1.0,40.0,70000.0
52,15.0,1.0,52.0,51000.0
37,,,45.0,46700.0
6,,,,
47,10.0,1.0,50.0,50000.0
7,,,,
51,5.0,1.0,39.0,61000.0
13,,,,
26,5.0,1.0,60.0,19440.0
39,20.0,1.0,40.0,51550.0
6,,,,
54,,,,0.0
33,10.0,1.0,40.0,61600.0
73,,,,18400.0
92,,,,27100.0
42,3.0,1.0,65.0,69800.0
29,30.0,1.0,40.0,47100.0
31,60.0,2.0,40.0,70000.0
37,,,81.0,17900.0
62,3.0,3.0,40.0,49600.0
15,,,,0.0
45,5.0,1.0,65.0,53600.0
55,1.0,,38.0,44600.0
41,150.0,1.0,40.0,151600.0
71,,,,109300.0
47,,,,0.0
61,20.0,1.0,24.0,59600.0
82,,,,12600.0
47,,,,10000.0
46,20.0,1.0,72.0,30000.0
42,15.0,3.0,8.0,9400.0
2,,,,
56,15.0,2.0,84.0,30000.0
18,,,,1600.0
48,20.0,1.0,60.0,85000.0
58,5.0,1.0,30.0,24500.0
63,30.0,,84.0,97600.0
30,10.0,1.0,60.0,73000.0
11,,,,
33,5.0,,80.0,71600.0
5,,,,
45,,,,1600.0
48,12.0,1.0,36.0,37600.0
56,5.0,1.0,40.0,70300.0
82,,,,26100.0
46,,,20.0,19800.0
11,,,,
64,,,40.0,83000.0
58,15.0,1.0,36.0,26100.0
71,,,,8900.0
13,,,,
33,15.0,1.0,40.0,47930.0
31,2.0,,40.0,69600.0
37,10.0,1.0,35.0,53000.0
58,10.0,1.0,36.0,64700.0
9,,,,
61,,,60.0,73600.0
74,,,,11500.0
53,5.0,,84.0,19000.0
1,,,,
22,,,40.0,36700.0
5,,,,
55,1.0,1.0,40.0,62400.0
14,,,,
33,,,,0.0
61,10.0,,40.0,4500.0
3,,,,
67,20.0,1.0,50.0,68600.0
38,15.0,1.0,45.0,81900.0
32,15.0,1.0,32.0,80000.0
11,,,,
19,,,40.0,6600.0
2,,,,
2,,,,
58,10.0,1.0,40.0,94400.0
33,,,,1600.0
12,,,,
21,,,12.0,13000.0
30,,,18.0,20500.0
9,,,,
37,3.0,1.0,7.0,31600.0
61,10.0,1.0,40.0,22000.0
62,,,38.0,18000.0
13,,,,
37,45.0,1.0,32.0,55000.0
50,15.0,1.0,40.0,90000.0
68,20.0,1.0,40.0,238000.0
56,,,,67600.0
78,,,,2400.0
9,,,,
52,10.0,1.0,30.0,163000.0
9,,,,
24,15.0,1.0,40.0,25000.0
11,,,,
30,2.0,,30.0,25100.0
7,,,,
19,,,,5500.0
50,15.0,1.0,40.0,18000.0
29,5.0,4.0,38.0,37900.0
67,,,,64400.0
58,5.0,2.0,45.0,45000.0
12,,,,
45,5.0,,84.0,29000.0
2,,,,
48,,,20.0,13000.0
54,5.0,,84.0,60000.0
18,,,35.0,40100.0
60,15.0,1.0,60.0,73600.0
23,,,60.0,26000.0
3,,,,
43,,,,2800.0
29,5.0,1.0,40.0,40000.0
45,,,20.0,5000.0
48,,,,1000.0
39,,,,0.0
27,40.0,1.0,43.0,31200.0
9,,,,
4,,,,
58,,,,11150.0
67,,,,44200.0
33,,,,0.0
64,45.0,1.0,40.0,49200.0
33,3.0,1.0,40.0,28200.0
43,20.0,1.0,55.0,81600.0
15,,,,12100.0
71,,,,26100.0
5,,,,
44,109.0,1.0,60.0,31600.0
1,,,,
52,,,,6400.0
37,4.0,1.0,60.0,53600.0
33,5.0,,10.0,17800.0
9,,,,
67,15.0,1.0,80.0,120000.0
71,2.0,1.0,30.0,37000.0
92,,,,10600.0
44,,,,0.0
8,,,,
22,5.0,,20.0,6800.0
32,45.0,1.0,52.0,56600.0
76,,,,45000.0
11,,,,
30,5.0,,12.0,8000.0
7,,,,
21,8.0,,50.0,18000.0
32,5.0,1.0,36.0,60000.0
59,30.0,,40.0,45000.0
30,50.0,1.0,40.0,45000.0
1,,,,
6,,,,
63,4.0,1.0,35.0,38000.0
92,,,,17400.0
56,10.0,1.0,80.0,108000.0
13,,,,
37,15.0,1.0,40.0,66400.0
66,10.0,,20.0,26300.0
45,,,55.0,84900.0
10,,,,
19,,,,1600.0
14,,,,
51,,,,1600.0
16,,,,1600.0
11,,,,
50,45.0,1.0,40.0,20000.0
56,20.0,,30.0,110000.0
65,10.0,,40.0,31200.0
39,20.0,1.0,40.0,55000.0
32,1.0,,72.0,60300.0
58,,,2.0,200.0
15,,,,1600.0
6,,,,
62,,,,15200.0
69,,,,28000.0
29,,,38.0,20000.0
44,2.0,2.0,40.0,27600.0
62,,,,54500.0
0,,,,
14,,,,
32,,,84.0,58000.0
63,,,,23600.0
5,,,,
45,15.0,1.0,24.0,33000.0
32,3.0,,40.0,46600.0
39,,,35.0,15620.0
28,20.0,1.0,40.0,176000.0
48,10.0,1.0,45.0,66800.0
40,20.0,,38.0,61100.0
39,10.0,1.0,50.0,52000.0
84,,,,1400.0
31,8.0,1.0,40.0,72000.0
18,,,,6900.0
16,,,,2000.0
29,6.0,1.0,40.0,31200.0
0,,,,
34,,,,2000.0
34,,,,1600.0
68,,,,15600.0
10,,,,
21,,,,0.0
12,,,,
10,,,,
24,10.0,,55.0,124000.0
34,,,8.0,-1600.0
12,,,,
34,5.0,1.0,35.0,71600.0
57,20.0,1.0,40.0,15600.0
65,10.0,1.0,28.0,30100.0
58,,,84.0,80000.0
11,,,,
52,15.0,1.0,40.0,46000.0
65,,,,10000.0
14,,,,
67,,,,15600.0
74,,,40.0,174000.0
31,,,28.0,8500.0
28,20.0,1.0,45.0,64000.0
60,,,55.0,54500.0
28,,,40.0,6300.0
1,,,,
38,10.0,1.0,40.0,75000.0
10,,,,
14,,,,
38,10.0,,40.0,23700.0
34,10.0,1.0,50.0,44700.0
34,20.0,2.0,50.0,63000.0
24,3.0,2.0,54.0,20000.0
83,,,,11100.0
8,,,,
25,10.0,1.0,40.0,60000.0
36,5.0,1.0,40.0,103300.0
29,15.0,1.0,30.0,31500.0
59,,,,19600.0
37,20.0,1.0,40.0,68700.0
14,,,,
67,30.0,1.0,32.0,31600.0
52,5.0,1.0,50.0,96100.0
63,15.0,1.0,40.0,188000.0
59,20.0,1.0,40.0,32930.0
85,,,,14500.0
2,,,,
60,5.0,,84.0,108000.0
10,,,,
6,,,,
59,3.0,1.0,40.0,46500.0
40,10.0,1.0,55.0,125000.0
61,10.0,1.0,20.0,22600.0
4,,,,
45,5.0,1.0,45.0,51600.0
61,120.0,,40.0,61400.0
53,5.0,,84.0,88600.0
74,,,,13900.0
8,,,,
33,12.0,1.0,35.0,44600.0
54,60.0,1.0,42.0,240000.0
69,20.0,1.0,35.0,33000.0
40,7.0,1.0,40.0,71600.0
35,,,,0.0
10,,,,
7,,,,
37,5.0,,84.0,40010.0
78,,,,21100.0
10,,,,
2,,,,
5,,,,
9,,,,
58,2.0,,46.0,54600.0
67,15.0,1.0,46.0,127500.0
0,,,,
41,3.0,1.0,40.0,50000.0
40,5.0,1.0,40.0,51200.0
48,15.0,,40.0,54000.0
67,,,99.0,218700.0
26,15.0,1.0,25.0,18000.0
68,,,,21600.0
43,7.0,1.0,40.0,50000.0
16,,,,900.0
43,15.0,1.0,84.0,151000.0
1,,,,
31,3.0,,38.0,55000.0
17,20.0,2.0,20.0,3800.0
82,,,,38100.0
0,,,,
29,,,40.0,17130.0
12,,,,
39,5.0,1.0,40.0,35000.0
38,20.0,1.0,60.0,366000.0
56,20.0,1.0,40.0,109100.0
33,20.0,1.0,40.0,50000.0
30,,,,-1300.0
79,,,,44600.0
2,,,,
58,10.0,1.0,40.0,51600.0
34,4.0,1.0,40.0,29600.0
31,12.0,1.0,40.0,58000.0
49,,,40.0,22000.0
55,,,,1600.0
15,,,,1600.0
58,,,,1600.0
56,5.0,,86.0,80200.0
73,,,,2000.0
31,15.0,2.0,50.0,60000.0
65,,,,38500.0
20,10.0,1.0,30.0,20000.0
27,,,,1700.0
61,,,10.0,21600.0
49,20.0,1.0,40.0,53070.0
21,,,72.0,4800.0
54,,,,8800.0
47,,,,24000.0
0,,,,
1,,,,
45,2.0,,50.0,25100.0
26,,,,1600.0
10,,,,
63,10.0,1.0,20.0,32600.0
56,,,48.0,45100.0
51,5.0,,35.0,23690.0
37,,,,20000.0
34,30.0,2.0,50.0,51100.0
32,,,,2500.0
66,,,,10740.0
21,2.0,,30.0,9100.0
15,,,,1600.0
57,15.0,1.0,48.0,150000.0
7,,,,
0,,,,
45,45.0,1.0,40.0,52400.0
0,,,,
52,5.0,1.0,50.0,19600.0
14,,,,
65,,,,10800.0
24,5.0,1.0,40.0,25000.0
25,,,40.0,26900.0
29,10.0,,25.0,22800.0
28,,,40.0,8800.0
66,5.0,,50.0,26700.0
13,,,,
45,60.0,1.0,40.0,63030.0
36,,,20.0,8900.0
77,,,,233400.0
13,,,,
54,1.0,,25.0,50000.0
30,20.0,1.0,20.0,23000.0
58,,,15.0,153200.0
2,,,,
71,,,,34400.0
29,1.0,,50.0,81600.0
4,,,,
32,,,60.0,121300.0
11,,,,
33,20.0,1.0,40.0,110000.0
64,,,,10000.0
25,2.0,1.0,25.0,15000.0
76,,,,38850.0
10,,,,
34,,,,0.0
75,,,,16500.0
12,,,,
10,,,,
69,,,,11900.0
33,5.0,,20.0,28300.0
20,5.0,1.0,65.0,25000.0
21,3.0,,35.0,22600.0
15,,,,1500.0
63,,,,11100.0
59,,,,35800.0
15,,,,0.0
11,,,,
11,,,,
48,,,40.0,3740.0
49,15.0,1.0,40.0,58000.0
23,,,,2700.0
48,,,,16140.0
24,3.0,2.0,54.0,20000.0
25,5.0,,40.0,58700.0
67,,,,9800.0
83,,,,56600.0
9,,,,
23,4.0,1.0,55.0,39700.0
42,,,84.0,24500.0
22,5.0,2.0,40.0,125600.0
60,,,,2100.0
8,,,,
28,3.0,,10.0,7600.0
34,30.0,1.0,30.0,40000.0
20,,,30.0,3100.0
69,,,72.0,226700.0
56,1.0,,40.0,51900.0
3,,,,
22,,,30.0,13600.0
42,,,4.0,2080.0
23,,,50.0,7500.0
8,,,,
67,,,,15530.0
21,60.0,1.0,80.0,36000.0
31,5.0,,36.0,9100.0
3,,,,
8,,,,
12,,,,
56,,,,29200.0
51,6.0,,40.0,25800.0
44,,,,0.0
11,,,,
22,2.0,1.0,20.0,42320.0
8,,,,
81,,,,8900.0
70,,,,24200.0
27,,,50.0,53600.0
5,,,,
6,,,,
47,,,,0.0
64,,,,13600.0
17,,,,0.0
15,,,,1600.0
48,2.0,1.0,5.0,18800.0
19,,,30.0,8000.0
37,15.0,1.0,50.0,100000.0
8,,,,
52,20.0,1.0,30.0,60000.0
64,5.0,1.0,40.0,39600.0
40,,,,0.0
10,,,,
29,,,,12500.0
17,,,,0.0
2,,,,
55,30.0,,80.0,50000.0
15,,,,1100.0
17,,,,2200.0
45,5.0,,40.0,48700.0
58,,,32.0,48700.0
62,40.0,,24.0,28300.0
14,,,,
4,,,,
36,,,30.0,5900.0
48,35.0,1.0,50.0,38300.0
24,15.0,1.0,40.0,24000.0
40,50.0,1.0,40.0,92000.0
9,,,,
28,15.0,1.0,45.0,25000.0
