AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
54,20.0,1.0,40.0,45000.0
40,20.0,1.0,45.0,75000.0
77,,,,15500.0
56,20.0,1.0,40.0,32000.0
44,,,,1400.0
18,,,30.0,600.0
38,20.0,1.0,40.0,105000.0
37,,,,0.0
63,15.0,1.0,20.0,21800.0
0,,,,
67,,,,42000.0
18,20.0,1.0,40.0,40000.0
55,,,,4200.0
20,,,56.0,400.0
37,10.0,1.0,32.0,20000.0
12,,,,
1,,,,
32,,,,0.0
39,25.0,1.0,40.0,108000.0
59,,,,46800.0
48,40.0,1.0,41.0,32000.0
31,20.0,1.0,40.0,48000.0
51,3.0,,10.0,13200.0
10,,,,
63,10.0,,80.0,30000.0
41,15.0,1.0,40.0,57000.0
10,,,,
58,15.0,1.0,40.0,62000.0
38,60.0,1.0,40.0,42000.0
44,15.0,1.0,40.0,65000.0
53,15.0,1.0,21.0,31000.0
30,30.0,1.0,40.0,60000.0
34,,,,0.0
53,,,,0.0
71,,,,38800.0
44,,,,0.0
34,,,60.0,32000.0
44,25.0,1.0,40.0,55000.0
75,,,,24900.0
30,10.0,1.0,45.0,43000.0
70,,,,9000.0
54,25.0,3.0,40.0,46800.0
59,,,,11800.0
18,,,15.0,300.0
82,,,,77200.0
58,,,,22600.0
93,,,,9600.0
11,,,,
5,,,,
75,,,,21400.0
61,10.0,1.0,18.0,16700.0
79,,,,8000.0
56,45.0,1.0,43.0,185200.0
16,,,,0.0
29,12.0,1.0,55.0,59000.0
55,1.0,1.0,45.0,34000.0
29,30.0,1.0,40.0,60000.0
75,,,,74200.0
22,15.0,1.0,30.0,11200.0
47,,,,5000.0
56,10.0,1.0,28.0,6200.0
19,10.0,1.0,25.0,9400.0
63,,,,0.0
12,,,,
0,,,,
75,,,,9300.0
48,22.0,1.0,40.0,37500.0
75,,,,34500.0
52,,,,0.0
41,6.0,1.0,40.0,38500.0
56,,,,68700.0
70,,,,19600.0
37,30.0,1.0,60.0,100000.0
82,,,,71740.0
41,15.0,1.0,40.0,40000.0
10,,,,
64,,,,75300.0
36,50.0,1.0,24.0,35000.0
4,,,,
38,15.0,1.0,40.0,23000.0
62,20.0,1.0,40.0,78000.0
48,3.0,2.0,40.0,12500.0
46,25.0,1.0,40.0,89000.0
61,,,,8800.0
28,20.0,1.0,40.0,55000.0
70,,,,39600.0
57,10.0,2.0,42.0,19000.0
40,10.0,1.0,50.0,15000.0
88,,,,161000.0
6,,,,
16,,,,0.0
5,,,,
70,,,,1400.0
49,45.0,1.0,40.0,45000.0
49,5.0,1.0,50.0,55000.0
58,10.0,1.0,40.0,42000.0
53,5.0,1.0,50.0,53000.0
71,,,,10000.0
22,15.0,3.0,45.0,28600.0
13,,,,
59,75.0,1.0,45.0,129000.0
45,20.0,2.0,40.0,61000.0
54,,,,18000.0
6,,,,
42,45.0,1.0,40.0,31000.0
31,35.0,1.0,40.0,61000.0
93,,,,17400.0
37,10.0,1.0,40.0,38000.0
27,45.0,1.0,50.0,42000.0
69,15.0,1.0,40.0,374700.0
70,,,,34500.0
29,90.0,5.0,36.0,22000.0
