AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
26,30.0,1.0,55.0,37000.0
34,20.0,2.0,99.0,60000.0
76,,,,26200.0
60,75.0,1.0,40.0,36000.0
32,115.0,2.0,40.0,51000.0
0,,,,
40,5.0,1.0,40.0,56000.0
22,10.0,,19.0,4000.0
18,,,,0.0
24,30.0,2.0,40.0,60000.0
24,10.0,1.0,40.0,1900.0
13,,,,
41,5.0,1.0,40.0,54000.0
74,,,,31400.0
20,10.0,,40.0,19200.0
49,40.0,,40.0,75000.0
75,,,,58000.0
37,,,,17700.0
39,45.0,1.0,40.0,50000.0
75,,,,19900.0
28,,,,0.0
16,,,,0.0
64,,,40.0,31100.0
53,10.0,1.0,80.0,81000.0
64,90.0,1.0,52.0,156000.0
53,10.0,1.0,44.0,44000.0
80,,,,28000.0
72,,,,8500.0
23,10.0,,52.0,22000.0
59,15.0,1.0,40.0,29000.0
74,45.0,1.0,25.0,65600.0
5,,,,
48,,,40.0,100000.0
56,15.0,1.0,50.0,60000.0
20,,,,0.0
57,30.0,1.0,40.0,25000.0
32,,,,0.0
54,35.0,1.0,32.0,30000.0
67,,,,19200.0
42,30.0,1.0,36.0,120000.0
39,5.0,1.0,40.0,38410.0
57,45.0,2.0,60.0,390000.0
85,,,,82620.0
8,,,,
39,15.0,2.0,40.0,60000.0
18,5.0,1.0,12.0,2000.0
25,,,,0.0
27,20.0,3.0,37.0,69000.0
87,,,,29300.0
5,,,,
8,,,,
10,,,,
49,15.0,2.0,40.0,80800.0
56,20.0,1.0,40.0,78000.0
28,2.0,2.0,30.0,24000.0
27,35.0,2.0,45.0,90000.0
63,,,,2600.0
37,15.0,,40.0,160800.0
58,,,,16800.0
9,,,,
78,145.0,1.0,60.0,150650.0
26,30.0,1.0,40.0,60000.0
23,,,,15010.0
53,40.0,4.0,40.0,35000.0
23,,,,0.0
70,15.0,1.0,40.0,28000.0
21,,,,15010.0
48,30.0,1.0,60.0,30000.0
60,20.0,1.0,33.0,55300.0
47,145.0,1.0,40.0,30000.0
38,145.0,4.0,40.0,40000.0
33,,,,11200.0
60,20.0,1.0,40.0,30000.0
45,25.0,1.0,40.0,45000.0
67,,,,23400.0
78,,,,69930.0
67,25.0,,42.0,119500.0
52,30.0,1.0,40.0,17700.0
3,,,,
25,60.0,,18.0,14000.0
24,45.0,1.0,40.0,70000.0
11,,,,
56,45.0,2.0,40.0,50000.0
9,,,,
50,20.0,1.0,40.0,44700.0
71,,,,32700.0
22,45.0,1.0,30.0,18000.0
32,25.0,1.0,40.0,50000.0
66,,,,58000.0
72,30.0,1.0,40.0,108200.0
36,,,,0.0
27,45.0,,40.0,4000.0
52,20.0,1.0,40.0,51000.0
32,,,,0.0
50,30.0,1.0,40.0,10000.0
3,,,,
64,3.0,2.0,6.0,16800.0
60,20.0,1.0,45.0,92000.0
29,,,,0.0
7,,,,
18,10.0,1.0,40.0,22800.0
56,,,,60.0
4,,,,
17,,,,0.0
7,,,,
19,,,,0.0
38,45.0,1.0,40.0,60600.0
1,,,,
70,,,,25700.0
64,,,,31000.0
34,30.0,1.0,60.0,40000.0
86,,,,16320.0
5,,,,
8,,,,
4,,,,
78,,,40.0,61400.0
7,,,,
66,,,,0.0
63,12.0,1.0,50.0,106000.0
17,,,,10400.0
79,,,,38500.0
21,,,,0.0
78,,,,174500.0
69,,,,0.0
16,,,,610.0
32,40.0,2.0,30.0,20000.0
34,,,40.0,39400.0
52,,,,0.0
61,45.0,2.0,40.0,47800.0
82,20.0,1.0,14.0,369600.0
59,25.0,1.0,80.0,76000.0
16,15.0,,12.0,500.0
61,15.0,1.0,40.0,37970.0
61,10.0,1.0,40.0,40000.0
68,,,,224100.0
81,,,,61600.0
29,,,,0.0
27,10.0,,20.0,23510.0
14,,,,
25,10.0,2.0,38.0,45000.0
